Unnamed: 0	community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
0	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_LalaDgluMdap_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
1	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_acald_e	0.25	0.02	1	0.005	2192.H06b.Nose.3177.lane6.NoIndex.L006
2	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_anhgm_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
3	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_cgly_e	0.25	0.45	1	0.1125	2192.H06b.Nose.3177.lane6.NoIndex.L006
4	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_etoh_e	0.25	0.02	1	0.005	2192.H06b.Nose.3177.lane6.NoIndex.L006
5	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_fe2_e	0.25	0.94	1	0.235	2192.H06b.Nose.3177.lane6.NoIndex.L006
6	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_fe3_e	0.25	0.06	1	0.015	2192.H06b.Nose.3177.lane6.NoIndex.L006
7	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_glyc_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
8	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_h2s_e	0.25	0.3	1	0.075	2192.H06b.Nose.3177.lane6.NoIndex.L006
9	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_ile__L_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
10	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_lac__L_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
11	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_leu__L_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
12	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_meoh_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
13	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_nh4_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
14	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_orn_e	0.25	0.01	1	0.0025	2192.H06b.Nose.3177.lane6.NoIndex.L006
15	all	minimal	Acinetobacter_johnsonii_XBB1_	Brevibacterium_sandarakinum_DSM_22082_	M_pi_e	0.25	0.04	1	0.01	2192.H06b.Nose.3177.lane6.NoIndex.L006
