WP_075869304.1	iPC815.YPO1435	34.8	92	56	3	57	144	228	319	2.6e-06	49.3
WP_075869304.1	iAF987.Gmet_1832	28.7	87	60	2	57	141	413	499	4.5e-06	48.5
WP_075869344.1	iJN1463.PP_1625	68.6	102	30	1	1	100	1	102	4.7e-39	157.5
WP_075869455.1	iCN900.CD630_28750	36.5	208	124	5	24	230	21	221	9.2e-25	111.3
WP_075869455.1	iYO844.BSU07490	35.4	212	128	5	18	227	14	218	8.6e-23	104.8
WP_075869455.1	iPC815.YPO0520	32.7	205	126	3	26	230	10	202	1.1e-22	104.4
WP_075869757.1	iJN1463.PP_4148	64.9	367	118	2	1	367	1	356	9.5e-129	457.2
WP_075869757.1	iML1515.b2178	61.6	367	137	2	1	366	1	364	6.2e-120	427.9
WP_075870187.1	iMM904.Q0130	47.4	76	40	0	1	76	1	76	2.0e-12	68.6
WP_075870187.1	iCHOv1.100754380	48.0	75	39	0	2	76	67	141	4.4e-12	67.4
WP_075870187.1	iCHOv1.100752739	48.0	75	39	0	2	76	62	136	4.4e-12	67.4
WP_075870187.1	iCHOv1.100772366	48.0	75	39	0	2	76	182	256	4.4e-12	67.4
WP_075870187.1	iAT_PLT_636.518	48.0	75	39	0	2	76	68	142	4.4e-12	67.4
WP_075870187.1	iAT_PLT_636.516	48.0	75	39	0	2	76	62	136	4.4e-12	67.4
WP_075870187.1	iAT_PLT_636.517	48.0	75	39	0	2	76	83	157	4.4e-12	67.4
WP_075870187.1	iMM1415.11951	48.0	75	39	0	2	76	62	136	4.4e-12	67.4
WP_075870696.1	iAF987.Gmet_3345	50.5	99	48	1	3	101	2	99	2.2e-19	92.0
WP_075870696.1	iSynCJ816.SGL_RS16985	48.5	103	50	2	1	101	1	102	2.1e-17	85.5
WP_075870748.1	iJN1463.PP_1082	50.3	155	77	0	1	155	1	155	1.9e-36	149.4
WP_075870748.1	iML1515.b3336	46.4	151	81	0	1	151	1	151	5.7e-33	137.9
WP_075870787.1	iAF987.Gmet_1914	37.3	110	65	2	1	108	1	108	3.4e-11	65.1
WP_075914797.1	iML1515.b2197	38.7	142	80	2	18	152	4	145	1.5e-20	96.7
WP_075914797.1	iSbBS512_1146.SbBS512_E0744	38.7	142	80	2	18	152	4	145	1.5e-20	96.7
WP_075914797.1	iSDY_1059.SDY_0881	38.7	142	80	2	18	152	4	145	1.5e-20	96.7
WP_075914797.1	iSF_1195.SF2281	38.7	142	80	2	18	152	4	145	1.5e-20	96.7
WP_075914797.1	iSSON_1240.SSON_2255	38.7	142	80	2	18	152	4	145	1.9e-20	96.3
WP_075915104.1	iSSON_1240.SSON_0813	63.3	305	112	0	1	305	1	305	1.7e-107	386.3
WP_075915104.1	iML1515.b0831	63.3	305	112	0	1	305	1	305	3.8e-107	385.2
WP_075915104.1	iSDY_1059.SDY_0756	63.3	305	112	0	1	305	1	305	3.8e-107	385.2
WP_075915104.1	iSF_1195.SF0781	63.0	305	113	0	1	305	1	305	1.1e-106	383.6
WP_075915104.1	iSbBS512_1146.SbBS512_E2517	63.0	305	113	0	1	305	1	305	3.2e-106	382.1
WP_075915104.1	iYL1228.KPN_00864	61.6	305	117	0	1	305	1	305	8.8e-104	374.0
WP_075915104.1	STM_v1_0.STM0850	61.0	305	119	0	1	305	1	305	1.1e-103	373.6
WP_075915929.1	iPC815.YPO1351	22.6	226	155	6	58	278	30	240	1.6e-09	60.8
WP_077970583.1	iCN718.ABAYE_RS18235	60.6	175	69	0	1	175	1	175	1.5e-60	229.6
WP_077970583.1	iJN1463.PP_0538	56.9	174	75	0	1	174	1	174	2.7e-57	218.8
WP_077970583.1	iPC815.YPO3521	54.3	175	80	0	1	175	1	175	1.5e-55	213.0
WP_077970583.1	iML1515.b4226	54.0	174	80	0	1	174	1	174	1.3e-54	209.9
WP_077970583.1	iSbBS512_1146.SbBS512_E4858	54.0	174	80	0	1	174	1	174	1.3e-54	209.9
WP_077970583.1	iSDY_1059.SDY_4462	54.0	174	80	0	1	174	1	174	1.3e-54	209.9
WP_077970583.1	iSSON_1240.SSON_4408	54.0	174	80	0	1	174	1	174	1.3e-54	209.9
WP_077970583.1	iYL1228.KPN_04621	52.6	175	83	0	1	175	1	175	1.6e-54	209.5
WP_077970583.1	STM_v1_0.STM4414	53.1	175	82	0	1	175	1	175	3.7e-54	208.4
WP_077970583.1	iSF_1195.SF4264	53.4	174	81	0	1	174	1	174	6.2e-54	207.6
WP_077972742.1	iAF987.Gmet_0604	54.8	334	151	0	3	336	5	338	2.0e-96	349.7
WP_077972829.1	iML1515.b3291	38.1	134	75	3	1	133	3	129	6.2e-17	84.3
WP_077972976.1	STM_v1_0.STM3158	40.3	124	70	2	24	147	13	132	5.3e-17	84.7
WP_077972976.1	iJN1463.PP_5307	40.7	123	70	2	28	150	17	136	1.0e-15	80.5
WP_077972976.1	iML1515.b3005	37.1	124	74	2	24	147	13	132	5.0e-15	78.2
WP_077972976.1	iSbBS512_1146.SbBS512_E3433	37.1	124	74	2	24	147	13	132	5.0e-15	78.2
WP_077972976.1	iSF_1195.SF3050	37.1	124	74	2	24	147	13	132	5.0e-15	78.2
WP_077972976.1	iSSON_1240.SSON_3148	37.1	124	74	2	24	147	13	132	5.0e-15	78.2
WP_077973022.1	iML1515.b2533	43.5	255	144	0	6	260	4	258	4.3e-59	225.3
WP_077973022.1	iSbBS512_1146.SbBS512_E2908	43.5	255	144	0	6	260	4	258	4.3e-59	225.3
WP_077973022.1	iSF_1195.SF2580	43.5	255	144	0	6	260	4	258	4.3e-59	225.3
WP_077973022.1	iYL1228.KPN_02865	43.4	258	146	0	6	263	4	261	2.8e-58	222.6
WP_077973022.1	iSDY_1059.SDY_2729	42.7	255	146	0	6	260	4	258	3.7e-58	222.2
WP_077973022.1	iSSON_1240.SSON_2615	43.1	255	145	0	6	260	4	258	3.7e-58	222.2
